peso,altura,sexo,edad,tabaco,ubes,carneRoja,verduras,deporte,drogas,dietaEsp,nivEstPad,nivEstudios,nivIngresos
81.58,1.71,V,18,0,0,3,11,4,0,N,0,3,3
101.35,1.61,M,56,0,0,3,5,5,0,N,0,0,0
103.48,1.83,V,42,0,0,4,7,0,0,N,2,4,4
113.31,1.75,V,39,0,0,1,16,7,0,N,0,0,1
55.76,1.76,V,43,110,0,2,0,0,1,N,2,4,4
68.05,1.67,M,21,0,11,0,13,0,1,N,1,3,2
66.65,1.58,M,74,130,6,0,0,11,0,N,0,1,0
101.15,1.7,V,50,0,3,0,29,18,0,N,1,4,4
81.4,1.69,M,35,0,4,0,14,3,0,N,0,3,4
76.14,1.67,M,18,0,0,6,0,10,2,S,2,3,2
75.32,1.62,M,30,0,10,2,0,0,0,N,2,2,2
125.92,1.79,V,74,0,1,2,0,6,1,N,2,3,3
81.21,1.7,V,44,30,0,3,0,0,5,N,2,3,3
115.65,1.81,V,41,0,4,0,14,2,0,N,0,1,1
73.85,1.66,M,19,10,0,2,28,10,0,N,1,3,4
106.97,1.68,V,61,0,4,2,0,9,2,N,2,3,2
120.15,1.79,V,64,0,1,0,8,6,2,N,2,4,3
81.06,1.72,V,18,0,0,5,0,0,0,N,0,3,3
104.44,1.66,M,46,0,0,1,0,5,2,N,1,0,1
106.44,1.71,M,53,0,0,0,10,8,0,N,0,2,4
99.11,1.72,M,56,0,0,6,9,6,0,N,2,4,3
118.34,1.72,V,73,0,0,3,16,2,0,N,1,2,2
90.72,1.8,V,28,0,13,0,0,0,0,N,0,1,3
106.47,1.81,V,43,0,21,7,0,0,0,N,0,0,0
110.86,1.79,V,61,0,15,0,0,7,0,N,2,3,3
99.61,1.74,M,44,0,0,0,0,3,0,S,3,2,2
107.58,1.64,M,62,0,0,1,0,1,0,N,1,0,0
104.63,1.64,M,59,0,0,0,3,8,0,N,0,2,2
78.27,1.64,M,51,30,0,0,4,0,0,N,1,3,2
98.81,1.76,V,35,0,2,0,0,0,0,N,0,0,0
106.8,1.81,V,32,0,0,2,1,0,0,N,1,1,1
66.97,1.64,M,28,0,0,4,0,0,0,N,3,4,3
62.5,1.53,M,30,0,2,1,0,0,0,N,3,4,3
92.18,1.75,V,19,0,0,0,8,9,0,N,1,2,2
95.37,1.7,M,29,0,0,0,0,0,0,N,1,1,1
92.25,1.69,V,48,0,0,0,1,3,0,N,2,3,3
106.6,1.8,V,52,0,3,4,19,17,0,N,3,4,4
54.69,1.61,M,40,60,0,2,0,6,0,N,2,4,4
79.19,1.7,M,24,10,7,2,4,6,0,N,1,2,2
94.42,1.78,V,35,0,14,4,1,6,0,N,1,3,2
85.98,1.74,V,33,0,8,11,4,0,2,N,2,3,3
49.6,1.66,M,43,190,0,5,8,2,2,N,0,0,1
88.18,1.66,V,24,0,0,0,17,14,0,N,1,2,2
74.72,1.55,M,24,0,18,3,0,13,10,N,2,2,3
94.94,1.75,V,47,20,2,5,5,2,0,N,2,2,2
90.64,1.64,M,41,0,4,0,0,0,6,N,0,2,2
90.34,1.75,V,34,0,2,2,5,1,0,N,1,2,2
77.86,1.65,M,33,0,12,1,12,7,1,N,2,3,2
76.13,1.77,V,53,70,19,0,6,7,0,N,1,1,2
54.5,1.74,V,38,100,0,0,16,5,0,N,2,3,4
86.27,1.6,M,36,0,1,9,0,9,0,N,2,2,2
89.03,1.78,V,24,0,0,9,16,8,0,N,2,3,2
77.33,1.68,V,18,0,0,1,3,3,0,N,2,2,2
54.78,1.6,M,34,80,3,2,2,5,8,N,3,3,3
74.58,1.59,M,22,0,0,0,5,3,0,N,2,2,2
92.01,1.72,M,27,10,11,1,8,0,0,N,0,0,0
110.35,1.72,V,55,0,0,4,0,0,0,N,1,2,3
111.13,1.8,V,34,0,0,0,8,15,0,N,0,2,2
58.58,1.72,V,38,50,0,1,6,0,0,N,3,4,4
52.63,1.71,V,38,120,0,1,1,0,4,N,0,2,3
118.11,1.77,V,77,10,6,0,0,0,0,N,1,3,4
99.68,1.69,V,62,0,0,1,9,8,0,N,2,4,4
73.62,1.77,V,25,0,5,3,0,0,0,N,1,4,4
56.75,1.64,M,44,50,0,0,0,3,0,N,3,4,4
79.61,1.64,M,18,0,0,3,0,3,0,N,0,1,2
62.7,1.59,M,47,60,6,0,6,6,3,N,0,2,3
104.08,1.76,M,54,0,3,4,12,13,0,N,4,4,4
46.08,1.6,M,31,160,4,0,4,5,1,N,1,1,0
68.58,1.64,V,26,0,4,4,0,2,0,N,2,3,4
75.97,1.69,V,41,60,0,1,0,5,5,N,1,2,2
94.16,1.57,M,47,0,0,2,1,7,0,N,0,1,1
93.78,1.78,V,41,0,7,4,0,0,0,N,1,2,3
81.77,1.77,V,35,40,0,0,19,6,0,N,1,2,2
82.48,1.52,M,41,0,9,3,0,3,0,N,0,0,0
123.88,1.82,V,46,0,1,5,13,2,4,N,2,1,1
107.31,1.71,V,56,0,4,0,13,4,0,N,1,2,1
82.27,1.67,V,21,10,18,4,0,10,0,N,1,0,0
69.52,1.75,V,35,50,10,6,0,4,0,N,1,3,2
82.09,1.76,V,25,0,5,2,0,0,0,N,1,2,2
